course,instructor,quarter,year,A,nLetterStudents
SOC     294,KORNBERG D N,Winter,2021,4,5
SOC     294,WINANT H,Winter,2021,5,6
SOC     290B,BRIDGES T S,Winter,2021,0,0
SOC     248MA,FRIEDKIN N E,Winter,2021,1,7
SOC     239,HAJJAR L,Winter,2021,9,12
SOC     216D,BEAMAN J M,Winter,2021,2,13
SOC     211B,WINDER T J,Winter,2021,13,13
SOC     207B,ANDERSON KE B,Winter,2021,4,9
SOC     205A,CHARLES M,Winter,2021,6,9
SOC     199,BALDWIN J I,Winter,2021,0,7
SOC     196HR,WOHL H L,Winter,2021,17,17
SOC     190A,LUNA Z T,Winter,2021,0,0
SOC     185S,RAYMOND E,Winter,2021,35,82
SOC     185RT,ROBINSON W I,Winter,2021,24,78
SOC     185G,BRIDGES T S,Winter,2021,34,80
SOC     185DG,NEDERVEEN PIE,Winter,2021,26,63
SOC     185C,TOBER T L,Winter,2021,34,83
SOC     172,ABRA G J,Winter,2021,68,89
SOC     155W,SEGURA D A,Winter,2021,24,77
SOC     155M,LUNA Z T,Winter,2021,16,80
SOC     152C,BALDWIN J D,Winter,2021,0,12
SOC     152C,BALDWIN J I,Winter,2021,0,12
SOC     152B,BALDWIN J D,Winter,2021,16,20
SOC     152B,BALDWIN J I,Winter,2021,16,20
SOC     152A,BALDWIN J D,Winter,2021,210,575
SOC     152A,BALDWIN J I,Winter,2021,210,575
SOC     149,CAST A D,Winter,2021,37,89
SOC     148MA,FRIEDKIN N E,Winter,2021,3,11
SOC     147,CAST A D,Winter,2021,42,93
SOC     144,SEGURA D A,Winter,2021,11,77
SOC     142,BALDWIN J D,Winter,2021,35,137
SOC     139A,DANIEL R,Winter,2021,12,45
SOC     136A,WHITEHEAD K A,Winter,2021,31,71
SOC     131,WINANT H,Winter,2021,66,87
SOC     130LA,ROBINSON W I,Winter,2021,26,137
SOC     130EV,FORAN J F,Winter,2021,34,72
SOC     126,KORNBERG D N,Winter,2021,35,86
SOC     122,TOBER T L,Winter,2021,39,81
SOC     118CW,FALASCA S,Winter,2021,11,85
SOC     118CI,WOHL H L,Winter,2021,22,81
SOC     108ST,RAYMOND E,Winter,2021,15,54
SOC     108F,WINDER T J,Winter,2021,50,73
SOC     108C,TOBER T L,Winter,2021,47,57
SOC     108A,SEEBER A R,Winter,2021,13,54
SOC     108,RAYMOND E,Winter,2021,20,56
SOC     105E,CLEMENCON R,Winter,2021,11,84
SOC      91,HAJJAR L,Winter,2021,0,0
SOC       1,HAJJAR L,Winter,2021,262,500
SLAV    151C,DELCHEVA M P,Winter,2021,3,14
SLAV    130C,SPIEKER S,Winter,2021,10,18
SLAV    117G,MOVSESIAN H,Winter,2021,22,32
SHS     166,INGHAM R J,Winter,2021,7,10
RUSS    101E,MCLELLAN L,Winter,2021,3,10
RUSS      5,MCLELLAN L,Winter,2021,6,15
RUSS      2,MCCLAIN K L,Winter,2021,6,23
RG ST   599,CABEZON J I,Winter,2021,0,0
RG ST   200B,CARLSON T A,Winter,2021,6,6
RG ST   198IS,AFARY J,Winter,2021,14,14
RG ST   190TC,CARLSON T A,Winter,2021,4,5
RG ST   190NV,DICKSTEIN J H,Winter,2021,6,14
RG ST   185,CAMPO J E,Winter,2021,12,36
RG ST   179B,WOLFSON E R,Winter,2021,3,13
RG ST   159B,HILLIS G A,Winter,2021,3,6
RG ST   158E,FEIZMOHAMMADP,Winter,2021,2,13
RG ST   156BE,JARRETT G C,Winter,2021,10,32
RG ST   150B,WALKER D S,Winter,2021,9,13
RG ST   148B,REYNOLDS D F,Winter,2021,6,9
RG ST   140A,TUNC E,Winter,2021,13,31
RG ST   131J,AMIHAY A,Winter,2021,7,20
RG ST   131H,HECHT R,Winter,2021,32,55
RG ST   131F,HECHT R,Winter,2021,71,105
RG ST   127B,MORALES C T,Winter,2021,2,18
RG ST   127A,EVANS M M,Winter,2021,6,13
RG ST   115G,GARR W R,Winter,2021,5,12
RG ST   104,JOHNSON G B,Winter,2021,8,13
RG ST    65B,RAMBELLI F,Winter,2021,4,6
RG ST    58B,RIAZI T,Winter,2021,1,5
RG ST    57B,FEIZMOHAMMADP,Winter,2021,1,19
RG ST    47,STEAVU-BALINT,Winter,2021,11,21
RG ST    27,WOLFSON E R,Winter,2021,10,45
RG ST    24,THOMAS C M,Winter,2021,9,42
RG ST    12,WHITE D G,Winter,2021,111,474
RG ST    11B,VYAS M M,Winter,2021,2,5
RG ST    10E,CAMPO M,Winter,2021,1,17
RG ST    10B,CAMPO M,Winter,2021,8,24
RG ST    10,AMIHAY A,Winter,2021,19,43
RG ST     7,WALKER D S,Winter,2021,38,108
RG ST     4,HILLIS G A,Winter,2021,34,111
RG ST     1,HILLIS G A,Winter,2021,28,112
PSY     596,MILLER M B,Winter,2021,0,0
PSY     594ME,ECKSTEIN M P,Winter,2021,2,7
PSY     594JR,RONEY J R,Winter,2021,6,6
PSY     594BM,MAJOR B N,Winter,2021,8,9
PSY     592NB,SMITH I,Winter,2021,0,0
PSY     592FS,LIBERMAN Z E,Winter,2021,0,0
PSY     592FS,RATNER K G,Winter,2021,0,0
PSY     592DV,COSMIDES L,Winter,2021,0,0
PSY     592CP,JACOBS E,Winter,2021,0,0
PSY     592CG,MAYER R E,Winter,2021,0,0
PSY     591MG,GOARD M,Winter,2021,7,7
PSY     590B,WOODS V E,Winter,2021,0,0
PSY     233,GIESBRECHT B,Winter,2021,3,13
PSY     221B,ASHBY F G,Winter,2021,14,21
PSY     199P,ECKSTEIN M P,Winter,2021,0,0
PSY     199P,GERMAN T C M,Winter,2021,0,0
PSY     199P,SCHOOLER J W,Winter,2021,0,0
PSY     199P,YU H,Winter,2021,0,0
PSY     199,COLLINS N L,Winter,2021,11,11
PSY     199,CONROY-BEAM D,Winter,2021,5,5
