course,instructor,quarter,year,A,nLetterStudents
PHYS    103,KOUTROULAKIS,Fall,2023,7,70
PHYS    110A,BANTA I C,Fall,2023,5,49
PHYS    110B,WELD D M,Fall,2023,10,73
PHYS    115A,JIN C,Fall,2023,3,49
PHYS    115C,XU C,Fall,2023,4,27
PHYS    119A,BIBILASHVILI,Fall,2023,19,100
PHYS    120,ZEE A,Fall,2023,3,21
PHYS    123A,BOUWMEESTER D,Fall,2023,4,21
PHYS    127AL,NELSON H,Fall,2023,19,41
PHYS    128AL,LIPPINCOTT W,Fall,2023,11,30
PHYS    129L,WANG ZIHANG,Fall,2023,4,13
PHYS    134L,LUBIN P,Fall,2023,7,32
PHYS    141,JAYICH A M,Fall,2023,5,7
PHYS    150,CRAIG N J,Fall,2023,11,18
PHYS CS  15A,MILLAR-BLANCH,Fall,2023,0,0
PHYS CS  31,BANTA I C,Fall,2023,0,0
PHYS CS  31,BIBILASHVILI,Fall,2023,0,0
PHYS CS  34,BANTA I C,Fall,2023,0,0
PHYS CS  34,GURUSWAMY S,Fall,2023,0,0
POL S     1,HOBBS-MORGAN,Fall,2023,8,117
POL S     6,BRUHN K,Fall,2023,11,279
POL S     7,MORSE J C,Fall,2023,8,125
POL S    12,BIMBER B,Fall,2023,6,123
POL S   106AM,RICE A M,Fall,2023,28,83
POL S   106ET,MAHDAVI P,Fall,2023,19,60
POL S   106PP,STRATHMAN B A,Fall,2023,4,59
POL S   118,KAPLAN C S,Fall,2023,2,40
POL S   119JW,STEIN E A,Fall,2023,7,57
POL S   124,MORSE J C,Fall,2023,9,56
POL S   126,STRATHMAN B A,Fall,2023,9,60
POL S   127,STRATHMAN B A,Fall,2023,19,139
POL S   177,MOOSBRUGGER L,Fall,2023,7,58
POL S   189,HOBBS-MORGAN,Fall,2023,5,69
POL S   197A,MASTERSON D T,Fall,2023,0,0
PORT      1,DE ALMEIDA A,Fall,2023,1,15
PORT      1,SILVA K E,Fall,2023,2,20
PORT    102A,CRAVEIRO DE M,Fall,2023,2,5
PORT    106,OLIVER E V,Fall,2023,7,11
PORT    125A,CRAVEIRO DE M,Fall,2023,18,29
PSTAT     5A,SWENSON J S,Fall,2023,55,278
PSTAT     5A,WAINWRIGHT B,Fall,2023,36,271
PSTAT     5H,MEIRING W,Fall,2023,0,0
PSTAT     8,GRIGORIAN K,Fall,2023,16,58
PSTAT     8,SOLIS S W,Fall,2023,15,71
PSTAT    10,RAVAT U V,Fall,2023,57,288
PSTAT   100,BARACALDO LAN,Fall,2023,16,104
PSTAT   105,SEN R,Fall,2023,11,40
PSTAT   115,BARACALDO LAN,Fall,2023,0,16
PSTAT   120A,COBURN K M,Fall,2023,88,162
PSTAT   120A,WAINWRIGHT B,Fall,2023,87,258
PSTAT   120B,COBURN K M,Fall,2023,20,144
PSTAT   120B,PADILLA D Y,Fall,2023,25,117
PSTAT   120C,GU M,Fall,2023,3,20
PSTAT   122,SAHA RAY R,Fall,2023,48,167
PSTAT   126,MA XIAORAN,Fall,2023,7,52
PSTAT   126,MOUTI S,Fall,2023,6,68
PSTAT   126,OH SANG-YUN,Fall,2023,7,52
PSTAT   127,MEIRING W,Fall,2023,13,56
PSTAT   130,SWENSON J S,Fall,2023,18,120
PSTAT   131,COBURN K M,Fall,2023,58,88
PSTAT   131,YU G,Fall,2023,13,62
PSTAT   134,OH SANG-YUN,Fall,2023,47,80
PSTAT   160A,ZHU ZIMU,Fall,2023,43,132
PSTAT   160B,MOUTI S,Fall,2023,5,42
PSTAT   170,TAN YING,Fall,2023,14,59
PSTAT   171,GRIGORIAN K,Fall,2023,16,95
PSTAT   173,PEDERSEN H W,Fall,2023,8,34
PSTAT   175,SEN R,Fall,2023,5,18
PSTAT   197A,BARACALDO LAN,Fall,2023,19,58
PSTATW  174,FELDMAN R,Fall,2023,17,91
PSY       1,GERMAN T C M,Fall,2023,348,780
PSY      10A,ALBADA N A,Fall,2023,102,247
PSY      10B,CONROY-BEAM D,Fall,2023,40,122
PSY      10B,RATNER K G,Fall,2023,41,95
PSY     102,FORD K C,Fall,2023,41,318
PSY     105,BAHAM M E,Fall,2023,149,347
PSY     106,SCUDDER S L,Fall,2023,73,324
PSY     109,WOODS V E,Fall,2023,62,83
PSY     111,KIPPIN T E,Fall,2023,50,113
PSY     111L,SZUMLINSKI K,Fall,2023,12,57
PSY     116,KEIFLIN R P,Fall,2023,39,130
PSY     117,KLEIN S B,Fall,2023,22,113
PSY     118L,GIESBRECHT B,Fall,2023,20,46
PSY     120,SCHOOLER J W,Fall,2023,12,114
PSY     120L,WOODS V E,Fall,2023,17,44
PSY     123,LAPATE R C,Fall,2023,39,155
PSY     130,ECKSTEIN M P,Fall,2023,19,86
PSY     139,YU H,Fall,2023,77,87
PSY     147,REIMER N,Fall,2023,16,32
PSY     149,FORD K C,Fall,2023,6,87
PSY     150L,KIM H S,Fall,2023,12,45
PSY     160RW,WEBER R,Fall,2023,6,29
PSY     163IT,SMITH I,Fall,2023,39,89
PSY     183,FRIDLUND A J,Fall,2023,59,329
RG ST     2,AHMAD A A,Fall,2023,11,40
RG ST    10A,CAMPO M,Fall,2023,0,5
RG ST    10D,CAMPO M,Fall,2023,2,8
RG ST    11A,PARIKH S,Fall,2023,5,14
RG ST    21,HILLIS G A,Fall,2023,53,119
RG ST    26,WOLFSON E R,Fall,2023,11,19
RG ST    28,ELISON W N,Fall,2023,72,110
RG ST    30,MEDINA R W,Fall,2023,6,59
RG ST    37,MOORE K M,Fall,2023,34,54
RG ST    48,STEAVU-BALINT,Fall,2023,29,58
RG ST    58A,FEIZMOHAMMADP,Fall,2023,4,20
RG ST    58D,FEIZMOHAMMADP,Fall,2023,2,11
RG ST    73,RAMBELLI F,Fall,2023,2,8
RG ST    84,EL OMARI R M,Fall,2023,9,22
RG ST   104,PEREZ E,Fall,2023,8,10
RG ST   115A,GARR W R,Fall,2023,3,39
RG ST   119A,AHMAD A A,Fall,2023,2,28
RG ST   119B,AHMAD A A,Fall,2023,3,5
RG ST   123F,BUSTO R V,Fall,2023,4,10
RG ST   127A,EVANS M M,Fall,2023,2,20
RG ST   138,EVANS M M,Fall,2023,6,15
RG ST   149H,EL OMARI R M,Fall,2023,2,12
RG ST   152,LANAHAN-KALIS,Fall,2023,17,31
RG ST   156CC,HAMILTON N C,Fall,2023,10,10
RG ST   156EE,JARRETT G C,Fall,2023,10,35
RG ST   157J,FEIZMOHAMMADP,Fall,2023,2,16
RG ST   162R,ELISON W N,Fall,2023,4,7
RG ST   167A,DUOER D,Fall,2023,5,16
RG ST   188A,ARMISTEAD K J,Fall,2023,0,0
RG ST   188A,MARSANO V L,Fall,2023,0,0
RG ST   190EI,KAUFFMAN M E,Fall,2023,5,36
RG ST   190WE,KAUFFMAN M E,Fall,2023,16,36
RUSS      1,MCCLAIN K L,Fall,2023,1,8
RUSS      1,MCLELLAN L,Fall,2023,3,9
RUSS    101A,MCLELLAN L,Fall,2023,4,5
SLAV    130C,SPIEKER S,Fall,2023,3,15
SLAV    152A,MCCLAIN K L,Fall,2023,6,29
SLAV    152B,MCCLAIN K L,Fall,2023,12,28
SOC       1,TOBER T L,Fall,2023,121,495
SOC     105E,CLEMENCON R,Fall,2023,13,61
SOC     108,TAYLOR C J,Fall,2023,11,57
SOC     108A,TUROWETZ J,Fall,2023,15,70
SOC     108ST,SOBOTKA T C,Fall,2023,22,53
SOC     118CW,FALASCA S,Fall,2023,39,80
SOC     118QC,WINDER T J,Fall,2023,20,86
SOC     122,TUROWETZ J,Fall,2023,31,78
SOC     122GI,ROBINSON W I,Fall,2023,101,159
SOC     124,BEAMAN J M,Fall,2023,6,56
SOC     126,NIELSEN E S,Fall,2023,46,82
SOC     128,BEAMAN J M,Fall,2023,7,86
SOC     130LA,ROBINSON W I,Fall,2023,29,156
SOC     130SG,TOBER T L,Fall,2023,30,84
SOC     130ST,NIELSEN E S,Fall,2023,13,47
SOC     131,NIELSEN E S,Fall,2023,35,78
SOC     134,TUROWETZ J,Fall,2023,16,92
SOC     136A,WHITEHEAD K A,Fall,2023,17,64
SOC     142,BALDWIN J D,Fall,2023,14,94
SOC     144LA,MALDONADO FAB,Fall,2023,7,37
SOC     146,BRIDGES T S,Fall,2023,31,84
SOC     146,DUCK W,Fall,2023,11,29
SOC     147,CAST A D,Fall,2023,18,91
SOC     152A,BALDWIN J D,Fall,2023,30,403
SOC     152A,BALDWIN J I,Fall,2023,30,403
SOC     152B,BALDWIN J D,Fall,2023,4,8
SOC     152B,BALDWIN J I,Fall,2023,4,8
SOC     155,TAYLOR C J,Fall,2023,16,90
SOC     185E,RAYMOND G,Fall,2023,31,74
SOC     185M,ANDERSON KE B,Fall,2023,19,66
SOC     185RT,ROBINSON W I,Fall,2023,4,32
SOC     185S,DUCK W,Fall,2023,38,85
SOC     196H,WINDER T J,Fall,2023,0,0
SPAN      1,CHAVIRA A I,Fall,2023,2,21
SPAN      1,CRAVEIRO DE M,Fall,2023,8,23
SPAN      1,IHLENDORF BUR,Fall,2023,4,43
SPAN      1,PAREDES-RIVER,Fall,2023,1,25
SPAN      1,ROMINE J T,Fall,2023,2,21
SPAN      3,CARTER M L,Fall,2023,1,18
SPAN      3,LEWIS A E,Fall,2023,0,17
SPAN      4,MOREJON C,Fall,2023,3,19
SPAN      4,RAMIREZ B E,Fall,2023,5,19
SPAN      5,MARQUES-PASCU,Fall,2023,2,14
SPAN      5,VERA FLANDEZ,Fall,2023,6,17
SPAN      6,THURMAN N B,Fall,2023,11,40
SPAN     16A,AGUILAR M,Fall,2023,3,22
SPAN     16A,BARRY C M,Fall,2023,1,18
SPAN     16B,GUYTON ACOSTA,Fall,2023,4,23
SPAN     25,AGUILAR M,Fall,2023,3,25
SPAN     30,RAMIREZ PIMIE,Fall,2023,7,37
SPAN    100,ALVES FERREIR,Fall,2023,24,26
SPAN    102A,GONZALES-SMIT,Fall,2023,3,6
SPAN    116,ALVES FERREIR,Fall,2023,12,19
SPAN    139,GUYTON ACOSTA,Fall,2023,10,43
SPAN    145,GONZALES-SMIT,Fall,2023,5,10
SPAN    149,GRASSET MOREL,Fall,2023,14,39
SPAN    153E,MURUAMENDIARA,Fall,2023,7,33
SPAN    154A,MURUAMENDIARA,Fall,2023,4,29
SPAN    177,LUPI J P,Fall,2023,13,31
SPAN    182A,LUPI J P,Fall,2023,4,13
SPAN W    2,AMAYA E C,Fall,2023,1,23
SPAN W    2,BARRY C M,Fall,2023,2,44
SPAN W    2,MARQUES GARCI,Fall,2023,2,21
THTR      2B,NAKAMURA J C,Fall,2023,46,146
THTR      5,FISHELL J K,Fall,2023,51,120
THTR      9,LYTLE T J,Fall,2023,21,30
THTR     10A,STEIN D A,Fall,2023,10,10
THTR     11A,MORGAN M,Fall,2023,3,10
THTR     15A,TORSIGLIERI A,Fall,2023,4,10
THTR     19,MITCHELL G M,Fall,2023,5,24
THTR     23,SCOTT V,Fall,2023,18,20
THTR     23D,SCOTT V,Fall,2023,4,12
THTR     40,BERNARD M A,Fall,2023,13,16
THTR    110A,STEIN D A,Fall,2023,10,10
THTR    111A,MORGAN M,Fall,2023,8,10
THTR    112,MORGAN M,Fall,2023,9,9
THTR    122,SHEFFIELD C A,Fall,2023,6,10
THTR    151A,BERNARD M A,Fall,2023,10,10
THTR    151F,HARRIS O,Fall,2023,9,9
THTR    151F,PAYNE T A,Fall,2023,9,9
THTR    152A,RADEMACHER S,Fall,2023,11,17
THTR    152A,TORSIGLIERI A,Fall,2023,11,17
THTR    182A,YOO E,Fall,2023,26,56
THTR    182M,KIMBALL G R,Fall,2023,22,58
THTR    195,HERRERA D J,Fall,2023,12,12
TMP     120,BOGART K S,Fall,2023,4,31
TMP     120,ZACKRISON E J,Fall,2023,27,87
TMP     122,SANTANA J,Fall,2023,9,44
TMP     122,TRIPSAS M,Fall,2023,7,31
TMP     124,CARPENTER P M,Fall,2023,13,19
TMP     124,GABRIELE G F,Fall,2023,32,65
TMP     127,BEANE M I,Fall,2023,25,75
W&L  CS   1,BROWN KARA,Fall,2023,0,0
W&L  CS   2,BROWN KARA,Fall,2023,0,0
W&L  CS   3,BROWN R L,Fall,2023,0,0
W&L  CS   4,BROWN R L,Fall,2023,0,0
W&L  CS  11,BROWN R L,Fall,2023,0,0
W&L  CS  20,GRUE M N,Fall,2023,0,0
W&L  CS 120,TERVALON J,Fall,2023,0,0
W&L  CS 130,WHITTET E O,Fall,2023,0,0
W&L  CS 152CS,JACKSON W E,Fall,2023,0,0
W&L  CS 170A,DELCHEVA M P,Fall,2023,0,0
WRIT      1,DEAN C W,Fall,2023,12,16
WRIT      1,ERNST B C,Fall,2023,22,48
WRIT      1,GRUE M N,Fall,2023,16,25
WRIT      1,HAMMER L M,Fall,2023,1,15
WRIT      1,HIRSCH S A,Fall,2023,26,48
WRIT      1,KRUT R M,Fall,2023,20,25
WRIT      1,SAUR E H,Fall,2023,10,25
WRIT      1,SMITH K A,Fall,2023,23,39
WRIT      1,SORAPURE M I,Fall,2023,7,24
WRIT      1,VERTIZ V,Fall,2023,3,17
WRIT      1,WARWICK N L,Fall,2023,12,42
WRIT      1,WEBBER M A,Fall,2023,7,46
WRIT      1E,RUTHERFORD K,Fall,2023,4,9
WRIT      2,BAILLARGEON K,Fall,2023,24,25
WRIT      2,BROWN KARA,Fall,2023,14,24
WRIT      2,CHAJDAS T W,Fall,2023,15,24
WRIT      2,COOK J N,Fall,2023,15,26
WRIT      2,D'ANCA C,Fall,2023,8,50
WRIT      2,DEAN C W,Fall,2023,9,15
WRIT      2,EVANS-WARE K,Fall,2023,5,24
WRIT      2,FRANK D M,Fall,2023,19,25
WRIT      2,FRYBERGER P D,Fall,2023,10,23
WRIT      2,HABER B W,Fall,2023,26,65
WRIT      2,KILLEEN S M,Fall,2023,6,25
WRIT      2,LAU Q,Fall,2023,9,23
WRIT      2,LEACH R K,Fall,2023,16,25
WRIT      2,NGUYEN M N,Fall,2023,11,25
WRIT      2,PETTERSSON PE,Fall,2023,17,25
WRIT      2,PROPEN A D,Fall,2023,40,66
WRIT      2,RADNA R,Fall,2023,9,20
WRIT      2,ROBERTS C K,Fall,2023,7,24
WRIT      2,ROEPE M W,Fall,2023,7,25
WRIT      2,ROGERS P M,Fall,2023,46,46
WRIT      2,SAMUELS R D,Fall,2023,1,25
WRIT      2,SAUR E H,Fall,2023,6,15
WRIT      2,SCHRANCK J B,Fall,2023,29,47
WRIT      2E,HUK P M,Fall,2023,13,37
WRIT      2E,STANSELL A,Fall,2023,17,40
WRIT     28,VERTIZ V,Fall,2023,5,5
WRIT    105C,KRUT R M,Fall,2023,21,22
WRIT    105C,MORRIS N S,Fall,2023,5,20
WRIT    105C,VERTIZ V,Fall,2023,20,50
WRIT    105C,WILLIAMS A M,Fall,2023,18,21
WRIT    105CD,SMITH K A,Fall,2023,13,24
WRIT    105CR,HAMMER L M,Fall,2023,6,18
WRIT    105G,COTICH C,Fall,2023,3,20
WRIT    105M,FRANK D M,Fall,2023,16,24
WRIT    105M,RUTHERFORD K,Fall,2023,17,25
WRIT    105PS,COTICH C,Fall,2023,1,19
WRIT    105PS,GENOVA G L,Fall,2023,5,23
WRIT    105PS,HANSON J L,Fall,2023,10,24
WRIT    105R,SAMUELS R D,Fall,2023,9,37
WRIT    105SW,LUNSFORD K J,Fall,2023,24,24
WRIT    105SW,SCHRANCK J B,Fall,2023,16,21
WRIT    105WC,MCHUGH P,Fall,2023,15,18
WRIT    107A,JOHNSON J K,Fall,2023,12,23
WRIT    107B,MCHUGH P,Fall,2023,34,50
WRIT    107B,YAMBOLIEV K I,Fall,2023,4,22
WRIT    107DJ,WILLIAMS A M,Fall,2023,20,23
WRIT    107G,COKLIN L,Fall,2023,21,38
WRIT    107G,HUK P M,Fall,2023,15,23
WRIT    107J,CHAJDAS T W,Fall,2023,26,38
WRIT    107L,GENOVA G L,Fall,2023,4,24
WRIT    107M,YAMBOLIEV K I,Fall,2023,4,19
WRIT    107WC,WEBBER M A,Fall,2023,10,25
WRIT    109ED,DEAN C W,Fall,2023,15,24
WRIT    109F,THOMAS C,Fall,2023,17,48
WRIT    109HP,HOUSER V G,Fall,2023,33,50
WRIT    109HU,HIRSCH S A,Fall,2023,10,19
WRIT    109SS,BAILLARGEON K,Fall,2023,21,24
WRIT    109V,HARRIS D R,Fall,2023,13,42
WRIT    124,MORRIS N S,Fall,2023,3,6
WRIT    131A,COKLIN L,Fall,2023,17,21
WRIT    160,SAUR E H,Fall,2023,6,12
WRIT W    6R,MOSER C H,Fall,2023,66,238
WRIT W    6R,THOMAS C,Fall,2023,66,238
ANTH    201A,MCCLURE S B,Fall,2023,4,5
ANTH    241A,THOMPSON GONZ,Fall,2023,7,7
ANTH    244,GAULIN S J,Fall,2023,8,12
ANTH    245,GURVEN M D,Fall,2023,5,6
ANTH    245IA,GURVEN M D,Fall,2023,0,0
ART     244,YASUDA K,Fall,2023,12,12
ART     261,VANDERPOOL J,Fall,2023,5,5
BIOE    210,HANEIN D,Fall,2023,8,8
BIOE    210,MUKHERJEE ARN,Fall,2023,8,8
BIOE    211,DEY S S,Fall,2023,8,11
BIOE    220A,PLAXCO K W,Fall,2023,4,5
BIOE    220A,VISELL Y,Fall,2023,4,5
BIOE    225,PRUITT B,Fall,2023,0,0
BIOE    230,PRUITT B,Fall,2023,0,0
BIOE    250AA,DEWEY M J,Fall,2023,7,12
BIOE    299,PRUITT B,Fall,2023,10,10
BL ST   254,TINSLEY O N,Fall,2023,2,7
BMSE    210,FYGENSON D K,Fall,2023,9,9
BMSE    210,LOUIS M R,Fall,2023,9,9
BMSE    210,MARCHETTI M,Fall,2023,9,9
BMSE    210,STREICHAN S,Fall,2023,9,9
BMSE    224,DOGIC Z,Fall,2023,9,9
BMSE    224,GREENE B L,Fall,2023,9,9
BMSE    224,SALEH A A,Fall,2023,9,9
BMSE    262,FINKELSTEIN R,Fall,2023,0,0
BMSE    265,MORRISSEY M A,Fall,2023,0,0
BMSE    265,SMITH I,Fall,2023,0,0
C LIT   210,PRIETO E,Fall,2023,2,5
C LIT   236,VAGT C,Fall,2023,9,9
C LIT   591,KITTLER W D,Fall,2023,0,0
CH E    210A,SHELL M S,Fall,2023,3,7
CH E    220A,TAKATORI S,Fall,2023,6,7
CH E    230A,RAWLINGS J B,Fall,2023,2,7
CH E    290,SHELL M S,Fall,2023,0,0
CH E    291,CHMELKA B F,Fall,2023,0,0
CH E    291,FREDRICKSON G,Fall,2023,0,0
CH E    291,O'MALLEY M A,Fall,2023,0,0
CH E    291,SCOTT S L,Fall,2023,0,0
CH E    291,SEGALMAN R A,Fall,2023,0,0
CH E    291,SHELL M S,Fall,2023,0,0
CH E    291,TAKATORI S,Fall,2023,0,0
CH ST   200B,CASILLAS D I,Fall,2023,5,8
CH ST   251,SANDOVAL C,Fall,2023,8,9
CH ST   502,HURTADO A,Fall,2023,0,0
CH ST   594IC,HURTADO A,Fall,2023,0,6
CHEM    223,ZAKARIAN A S,Fall,2023,6,6
CHEM    229,YANG Y,Fall,2023,6,16
CHEM    232,ZHANG LIMING,Fall,2023,1,14
CHEM    234,CARLINI A S,Fall,2023,4,8
CHEM    271A,HAWKER C J,Fall,2023,9,13
CHEM    273,STUCKY G D,Fall,2023,5,5
CHEM    279,FORD P C,Fall,2023,14,14
CHEM    282C,NGUYEN T T,Fall,2023,4,14
CHEM    290,BUTLER A,Fall,2023,8,8
CHEM    293,LEONARD N,Fall,2023,34,34
CHEM    501A,BERNT C M,Fall,2023,0,0
CLASS   500,DUNN F M,Fall,2023,0,0
CMPSC   211A,CHANDRASEKARA,Fall,2023,9,11
CMPSC   254,BALKIND J M,Fall,2023,16,28
CMPSC   270,WOLSKI R M,Fall,2023,7,15
CMPSC   279,VIGNA G,Fall,2023,22,28
CMPSC   280,YAN L,Fall,2023,8,18
CMPSC   291A,CHANG S,Fall,2023,13,30
CMPSC   291I,SRA M,Fall,2023,13,29
CMPSC   292A,LOKSHTANOV D,Fall,2023,4,20
CMPSC   292F,SINGH A K,Fall,2023,14,21
CMPSC   293S,YANG T,Fall,2023,27,32
CMPSC   501,LOKSHTANOV D,Fall,2023,0,0
CMPSC   502,AGRAWAL D,Fall,2023,0,0
CMPSC   595G,VIGNA G,Fall,2023,0,0
CMPSC   595J,SINGH A K,Fall,2023,0,0
CMPSC   595N,BEYELER M,Fall,2023,0,0
CNCSP   201,QUIRK M P,Fall,2023,6,7
CNCSP   210,SMITH S R,Fall,2023,0,13
CNCSP   220,EMMERSON L C,Fall,2023,13,16
CNCSP   224A,KIA-KEATING M,Fall,2023,0,0
CNCSP   227,KRUEGER N,Fall,2023,7,7
CNCSP   250,THOMPSON M E,Fall,2023,12,16
CNCSP   270,BARNETT M L,Fall,2023,0,0
CNCSP   271A,BARNETT M L,Fall,2023,0,0
CNCSP   271A,CEREZO A,Fall,2023,0,0
CNCSP   271B,THOMPSON M E,Fall,2023,0,0
CNCSP   272,KIA-KEATING M,Fall,2023,0,0
CNCSP   273,KIA-KEATING M,Fall,2023,0,0
CNCSP   274A,TANNEY R,Fall,2023,7,7
CNCSP   274D,GOODWIN J W,Fall,2023,0,0
CNCSP   279A,BARNETT M L,Fall,2023,0,0
CNCSP   293,STEVENS V E,Fall,2023,9,9
COMM    204A,DUNBAR N E,Fall,2023,7,8
COMM    207,MEROLLA A J,Fall,2023,11,11
COMM    214,FLANAGIN A J,Fall,2023,2,9
COMM    236,MYERS K K,Fall,2023,7,7
COMM    500,TRUSCELLI N I,Fall,2023,0,0
COMM    505,STOHL C,Fall,2023,0,0
DYNS    592,SMITH S L,Fall,2023,0,0
EARTH   201A,MORELL K D,Fall,2023,3,7
EARTH   232,MATOZA R S,Fall,2023,2,7
EARTH   260,SIMMS A R,Fall,2023,0,0
ECE     201A,DAGLI N,Fall,2023,7,8
ECE     210A,CHANDRASEKARA,Fall,2023,30,31
ECE     218A,RODWELL M J,Fall,2023,2,7
ECE     220A,PALMSTROM C J,Fall,2023,5,15
ECE     224A,KIM B,Fall,2023,3,10
ECE     227A,KLAMKIN J,Fall,2023,11,13
ECE     228A,BOWERS J E,Fall,2023,2,6
ECE     230A,BAMIEH B A,Fall,2023,5,8
ECE     235,MADHOW U,Fall,2023,8,19
ECE     250,MOSTOFI Y C,Fall,2023,10,10
ECE     251,ISUKAPALLI Y,Fall,2023,9,16
ECE     258,GIBSON J D,Fall,2023,3,6
ECE     272A,WANG L C,Fall,2023,3,7
ECE     273,ZHANG Z,Fall,2023,3,11
ECE     295,TEEL A R,Fall,2023,0,0
ECE     502,SCHOW C L,Fall,2023,0,0
ECE     594BB,MOODY G A,Fall,2023,0,6
ECE     594BB,QIN YAO,Fall,2023,5,10
ECE     595R,MANJUNATH B S,Fall,2023,0,0
ECON    204A,BIRCHENALL J,Fall,2023,4,16
ECON    210A,ESPONDA I,Fall,2023,1,18
ECON    214A,BIRCHENALL J,Fall,2023,4,6
ECON    230A,BERGSTROM T C,Fall,2023,10,10
ECON    230I,FRECH H E,Fall,2023,1,6
ECON    230J,SILVER D,Fall,2023,1,9
ECON    241A,FARRELL M,Fall,2023,5,18
ECON    245M,STARTZ R,Fall,2023,5,9
ECON    250G,BEDARD K L,Fall,2023,10,13
ECON    260E,PLANTINGA A,Fall,2023,7,8
ECON    290,DESCHENES O,Fall,2023,0,0
ECON    290,EYSTER E,Fall,2023,0,0
ECON    290,FRECH H E,Fall,2023,0,0
ECON    290,KUHN P J,Fall,2023,0,0
ECON    290,MILLNER A M,Fall,2023,0,0
ECON    290,OPREA R D,Fall,2023,0,0
ECON    290,RUPERT P,Fall,2023,0,0
ECON    290,STARTZ R,Fall,2023,0,0
ECON    294,TAZHITDINOVA,Fall,2023,0,0
ECON    297,ROYER H N,Fall,2023,0,0
ED      200A,BIANCHINI J A,Fall,2023,0,0
ED      205,DUQUE J D,Fall,2023,7,7
ED      210,MALONE H S,Fall,2023,8,10
ED      212,NYLUND K L,Fall,2023,0,0
ED      214A,AZZAM T,Fall,2023,4,13
ED      216B,NYLUND K L,Fall,2023,19,20
ED      217A,MAUL A E,Fall,2023,27,31
ED      221A,MALONE H S,Fall,2023,20,21
ED      228D,FEDDERS A,Fall,2023,7,12
ED      228K,LAMBERT R,Fall,2023,13,13
ED      229D,HOLDREN N R,Fall,2023,0,0
ED      229D,MORAN A S,Fall,2023,0,0
ED      253D,HARLOW D B,Fall,2023,7,7
ED      265A,DUQUE J D,Fall,2023,16,16
ED      265A,FEDDERS A,Fall,2023,7,14
ED      265A,FRIED B J,Fall,2023,11,11
ED      265A,OXELSON E M,Fall,2023,13,13
ED      265A,SCALZO J N,Fall,2023,21,21
ED      274,KYRATZIS A,Fall,2023,0,0
ED      276,SATTIN-BAJAJ,Fall,2023,4,5
ED      322,MISHLER T R,Fall,2023,0,0
ED      322,PENNER K M,Fall,2023,0,0
ED      322,WHITAKER D R,Fall,2023,0,0
ED      323F,GALISKY J A,Fall,2023,11,11
ED      323F,HARVEY V A,Fall,2023,21,21
ED      340,HARVEY V A,Fall,2023,0,0
ED      360F,PFEIFER C A,Fall,2023,0,0
ED      361F,SCALZO J N,Fall,2023,0,0
ED      362,MORAN A S,Fall,2023,37,37
ED      363,FEDDERS A,Fall,2023,24,31
ED      370,MEYER M N,Fall,2023,0,0
ED      370,OXELSON E M,Fall,2023,0,0
ED      381,BOLIVAR J,Fall,2023,0,16
ED   E  321,DEWAR T J,Fall,2023,8,8
ED   E  341,DEWAR T J,Fall,2023,0,0
ED   E  371,DEWAR T J,Fall,2023,0,0
ED   HSS321,ESTABROOK J A,Fall,2023,0,10
ED   HSS321,MULLIN C D,Fall,2023,0,10
ED   HSS371,ESTABROOK J A,Fall,2023,0,0
ED   HSS371,MULLIN C D,Fall,2023,0,0
ED   L  321F,FERNANDEZ M,Fall,2023,32,32
ED   LA 320F,MEYER M N,Fall,2023,42,44
ED   LA 320F,WHITAKER D R,Fall,2023,42,44
ED   M  320,PASTERNAK M C,Fall,2023,16,16
ED   M  320,RODRIGUEZ L F,Fall,2023,11,14
ED   M  321,OGRAIN C M,Fall,2023,6,7
ED   M  371,SCAFIDE M E,Fall,2023,0,0
EDS     220,GALAZ-GARCIA,Fall,2023,17,31
EDS     222,CARLETON T A,Fall,2023,14,36
EDS     223,OLIVER R Y,Fall,2023,10,38
EDS     242,MONTAGUE D K,Fall,2023,31,31
EEMB    500,IGLESIAS-RODR,Fall,2023,0,0
EEMB    507,MOELLER H V,Fall,2023,0,0
EEMB    507,PROULX S R,Fall,2023,0,0
EEMB    508,LOVE-ANDEREGG,Fall,2023,8,8
EEMB    508,MOELLER H V,Fall,2023,8,8
EEMB    595D,D'ANTONIO C M,Fall,2023,6,7
EEMB    595D,OONO R,Fall,2023,6,7
EEMB    595D,SCHIMEL J P,Fall,2023,6,7
ENGL    231,KEARNEY J J,Fall,2023,6,6
ENGL    235,BATISTE S L,Fall,2023,5,7
ENGL    236,DELOMBARD J M,Fall,2023,1,6
ENGL    238,RALEY R M,Fall,2023,6,6
ENGL    265GW,OLGUIN B V,Fall,2023,14,21
ENGL    265TC,AMIN-HONG H,Fall,2023,6,8
ENGL    591,COOK E H,Fall,2023,0,0
ENV S   293DE,PELLOW D N,Fall,2023,5,5
ESM     203,CAYLOR K K,Fall,2023,15,68
ESM     203,JASECHKO S A,Fall,2023,15,68
ESM     206,JERDE C L,Fall,2023,39,76
ESM     210,COTTER E E,Fall,2023,64,70
ESM     210,MASANET E R,Fall,2023,64,70
ESM     219,HOLDEN P A,Fall,2023,10,12
ESM     224,KELLER A A,Fall,2023,9,9
ESM     228,BUNTAINE M T,Fall,2023,13,27
ESM     231,COTTER E E,Fall,2023,16,16
ESM     240,HANNAH L J,Fall,2023,7,11
ESM     242,PLANTINGA A,Fall,2023,11,12
